pathway	external_id	source	ensembl_ids
Vitamin B6 metabolism - Mus musculus (mouse)	path:mmu00750	KEGG	ENSMUSG00000018659,ENSMUSG00000032788,ENSMUSG00000038242,ENSMUSG00000116165,ENSMUSG00000027088,ENSMUSG00000064294,ENSMUSG00000024640,ENSMUSG00000063558,ENSMUSG00000079554
alpha-Linolenic acid metabolism - Mus musculus (mouse)	path:mmu00592	KEGG	ENSMUSG00000060675,ENSMUSG00000058908,ENSMUSG00000029098,ENSMUSG00000034579,ENSMUSG00000041193,ENSMUSG00000050211,ENSMUSG00000020777,ENSMUSG00000024665,ENSMUSG00000056220,ENSMUSG00000029522,ENSMUSG00000033847,ENSMUSG00000009646,ENSMUSG00000028750,ENSMUSG00000028751,ENSMUSG00000098488,ENSMUSG00000010651,ENSMUSG00000027999,ENSMUSG00000070719,ENSMUSG00000028749,ENSMUSG00000029134,ENSMUSG00000042632,ENSMUSG00000041202,ENSMUSG00000036138,ENSMUSG00000022683,ENSMUSG00000046971
Ascorbate and aldarate metabolism - Mus musculus (mouse)	path:mmu00053	KEGG	ENSMUSG00000090124,ENSMUSG00000061906,ENSMUSG00000090145,ENSMUSG00000010025,ENSMUSG00000029455,ENSMUSG00000029260,ENSMUSG00000029201,ENSMUSG00000090165,ENSMUSG00000035811,ENSMUSG00000070704,ENSMUSG00000054545,ENSMUSG00000053644,ENSMUSG00000035836,ENSMUSG00000089960,ENSMUSG00000035561,ENSMUSG00000089943,ENSMUSG00000022613,ENSMUSG00000106677,ENSMUSG00000054630,ENSMUSG00000023070,ENSMUSG00000090175,ENSMUSG00000090171,ENSMUSG00000026687,ENSMUSG00000057425,ENSMUSG00000034450,ENSMUSG00000029268,ENSMUSG00000035780
Selenocompound metabolism - Mus musculus (mouse)	path:mmu00450	KEGG	ENSMUSG00000040213,ENSMUSG00000028179,ENSMUSG00000000811,ENSMUSG00000026662,ENSMUSG00000020250,ENSMUSG00000026307,ENSMUSG00000046994,ENSMUSG00000003477,ENSMUSG00000028032,ENSMUSG00000063179,ENSMUSG00000075704,ENSMUSG00000021311,ENSMUSG00000099282,ENSMUSG00000029173,ENSMUSG00000049091,ENSMUSG00000024899,ENSMUSG00000039648,ENSMUSG00000040354
Circadian rhythm - Mus musculus (mouse)	path:mmu04710	KEGG	ENSMUSG00000029513,ENSMUSG00000030256,ENSMUSG00000025958,ENSMUSG00000036309,ENSMUSG00000022400,ENSMUSG00000050697,ENSMUSG00000028518,ENSMUSG00000055116,ENSMUSG00000036192,ENSMUSG00000067713,ENSMUSG00000028150,ENSMUSG00000022124,ENSMUSG00000029238,ENSMUSG00000028957,ENSMUSG00000020893,ENSMUSG00000055866,ENSMUSG00000038205,ENSMUSG00000029686,ENSMUSG00000006542,ENSMUSG00000020038,ENSMUSG00000020271,ENSMUSG00000030103,ENSMUSG00000068742,ENSMUSG00000022433,ENSMUSG00000025162,ENSMUSG00000028944,ENSMUSG00000032238,ENSMUSG00000025217,ENSMUSG00000020889,ENSMUSG00000026077
Mucin type O-glycan biosynthesis - Mus musculus (mouse)	path:mmu00512	KEGG	ENSMUSG00000039774,ENSMUSG00000026828,ENSMUSG00000048970,ENSMUSG00000026994,ENSMUSG00000009588,ENSMUSG00000089704,ENSMUSG00000038296,ENSMUSG00000038072,ENSMUSG00000028938,ENSMUSG00000032226,ENSMUSG00000091387,ENSMUSG00000017929,ENSMUSG00000074004,ENSMUSG00000038843,ENSMUSG00000034040,ENSMUSG00000021903,ENSMUSG00000024064,ENSMUSG00000021130,ENSMUSG00000013846,ENSMUSG00000060988,ENSMUSG00000090035,ENSMUSG00000031749,ENSMUSG00000031608,ENSMUSG00000020520,ENSMUSG00000037280,ENSMUSG00000042460,ENSMUSG00000000420,ENSMUSG00000096914
Other glycan degradation - Mus musculus (mouse)	path:mmu00511	KEGG	ENSMUSG00000028673,ENSMUSG00000021665,ENSMUSG00000031521,ENSMUSG00000034000,ENSMUSG00000033857,ENSMUSG00000028048,ENSMUSG00000028164,ENSMUSG00000029119,ENSMUSG00000025232,ENSMUSG00000035239,ENSMUSG00000005142,ENSMUSG00000019810,ENSMUSG00000007038,ENSMUSG00000039307,ENSMUSG00000079434,ENSMUSG00000045594,ENSMUSG00000028467,ENSMUSG00000032295
Mannose type O-glycan biosynthesis - Mus musculus (mouse)	path:mmu00515	KEGG	ENSMUSG00000004383,ENSMUSG00000048920,ENSMUSG00000028413,ENSMUSG00000028414,ENSMUSG00000052423,ENSMUSG00000043153,ENSMUSG00000043857,ENSMUSG00000066235,ENSMUSG00000040434,ENSMUSG00000034126,ENSMUSG00000039242,ENSMUSG00000049307,ENSMUSG00000039254,ENSMUSG00000028541,ENSMUSG00000026080,ENSMUSG00000055373,ENSMUSG00000037251,ENSMUSG00000047379,ENSMUSG00000045994,ENSMUSG00000028538,ENSMUSG00000034620,ENSMUSG00000028700,ENSMUSG00000026156
Other types of O-glycan biosynthesis - Mus musculus (mouse)	path:mmu00514	KEGG	ENSMUSG00000034160,ENSMUSG00000034064,ENSMUSG00000020260,ENSMUSG00000046020,ENSMUSG00000025158,ENSMUSG00000029570,ENSMUSG00000028413,ENSMUSG00000034807,ENSMUSG00000036197,ENSMUSG00000018169,ENSMUSG00000098633,ENSMUSG00000052423,ENSMUSG00000032649,ENSMUSG00000034126,ENSMUSG00000024172,ENSMUSG00000039254,ENSMUSG00000035245,ENSMUSG00000028541,ENSMUSG00000022885,ENSMUSG00000028538,ENSMUSG00000030074,ENSMUSG00000004846,ENSMUSG00000051950
GABA synthesis, release, reuptake and degradation	R-MMU-888590	Reactome	ENSMUSG00000035936,ENSMUSG00000030310,ENSMUSG00000000826,ENSMUSG00000111277,ENSMUSG00000033615,ENSMUSG00000030307,ENSMUSG00000015656,ENSMUSG00000026797,ENSMUSG00000026787,ENSMUSG00000037771,ENSMUSG00000070880,ENSMUSG00000057880,ENSMUSG00000035864,ENSMUSG00000007207,ENSMUSG00000111628,ENSMUSG00000027273,ENSMUSG00000041670,ENSMUSG00000031840,ENSMUSG00000030108,ENSMUSG00000030109,ENSMUSG00000020894
