PROBE SET ID,ENSEMBL ID
AFFX-b-ActinMur/M12481_5_at,ENSMUSG00000039731
AFFX-b-ActinMur/M12481_M_at,ENSMUSG00000039731
AFFX-b-ActinMur/M12481_3_at,ENSMUSG00000039731
AFFX-GapdhMur/M32599_5_at,ENSMUSG00000035059
AFFX-GapdhMur/M32599_M_at,ENSMUSG00000056542
AFFX-GapdhMur/M32599_3_at,ENSMUSG00000047660
AFFX-TransRecMur/X57349_5_at,ENSMUSG00000022797
AFFX-TransRecMur/X57349_M_at,ENSMUSG00000022797
AFFX-TransRecMur/X57349_3_at,ENSMUSG00000022797
AFFX-PyruCarbMur/L09192_5_at,ENSMUSG00000024892
AFFX-PyruCarbMur/L09192_MA_at,ENSMUSG00000024892
AFFX-PyruCarbMur/L09192_MB_at,ENSMUSG00000024892
AFFX-PyruCarbMur/L09192_3_at,ENSMUSG00000024892
AFFX-MURINE_B2_at,ENSMUSG00000038836
1415670_at,ENSMUSG00000030058
1415671_at,ENSMUSG00000013160
1415672_at,ENSMUSG00000015341
1415673_at,ENSMUSG00000029446
1415674_a_at,ENSMUSG00000032112
1415676_a_at,ENSMUSG00000022193
1415677_at,ENSMUSG00000002332
1415678_at,ENSMUSG00000021096
1415679_at,ENSMUSG00000036835
1415680_at,ENSMUSG00000014355
1415681_at,ENSMUSG00000025208
1415682_at,ENSMUSG00000022100
1415683_at,ENSMUSG00000026643
1415685_at,ENSMUSG00000020459
1415686_at,ENSMUSG00000026878
1415687_a_at,ENSMUSG00000004207
1415688_at,ENSMUSG00000020794
1415689_s_at,ENSMUSG00000021327
1415690_at,ENSMUSG00000024414
1415691_at,ENSMUSG00000022770
1415692_s_at,ENSMUSG00000020368
1415693_at,ENSMUSG00000022365
1415695_at,ENSMUSG00000030751
1415696_at,ENSMUSG00000020088
1415697_at,ENSMUSG00000029405
1415698_at,ENSMUSG00000021556
1415699_a_at,ENSMUSG00000047016
1415700_a_at,ENSMUSG00000027828
1415701_x_at,ENSMUSG00000018630
1415702_a_at,ENSMUSG00000037373
1415704_a_at,ENSMUSG00000055262
1415706_at,ENSMUSG00000026553
1415707_at,ENSMUSG00000026965
1415713_a_at,ENSMUSG00000041645
1415714_a_at,ENSMUSG00000001158
1415716_a_at,ENSMUSG00000046884
1415717_at,ENSMUSG00000028677
1415719_s_at,ENSMUSG00000027599
1415720_s_at,ENSMUSG00000034509
1415721_a_at,ENSMUSG00000005982
1415722_a_at,ENSMUSG00000019868
1415723_at,ENSMUSG00000021282
1415724_a_at,ENSMUSG00000006699
1415727_at,ENSMUSG00000028070
1415728_at,ENSMUSG00000022198
1415729_at,ENSMUSG00000024122
1415730_at,ENSMUSG00000034820
1415731_at,ENSMUSG00000026634
1415732_at,ENSMUSG00000007036
1415734_at,ENSMUSG00000056280
1415735_at,ENSMUSG00000024740
1415736_at,ENSMUSG00000001289
1415737_at,ENSMUSG00000024712
1415738_at,ENSMUSG00000028567
1415739_at,ENSMUSG00000036733
1415740_at,ENSMUSG00000020708
1415741_at,ENSMUSG00000029234
1415742_at,ENSMUSG00000000695
1415743_at,ENSMUSG00000008855
1415745_a_at,ENSMUSG00000022898
1415746_at,ENSMUSG00000005442
1415747_s_at,ENSMUSG00000024404
1415748_a_at,ENSMUSG00000030868
1415749_a_at,ENSMUSG00000028646
1415750_at,ENSMUSG00000040688
1415751_at,ENSMUSG00000028759
1415753_at,ENSMUSG00000003346
